一级意图,二级意图,相关关键词,可匹配的正则表达式 (生产级),隐含表达（示例）,承接动作,,,,,,,,,,,,,,
知识检索类,政策规章查询,"红头文件, 管理办法, 规定, 细则, 指引, 合规, 条款",.*((查询|看|找).*(文件|办法|规定|细则|条款)| (文件|办法|规定|细则).*(怎么说|要求)).*,“异地开户需要哪些证明材料？” / “关于反洗钱最新的红头文件是哪个？”,,,,,,,,,,,,,,,
,产品参数检索,"利率, 期限, 额度, 准入, 门槛, 收益率, 费率, 质押率",.*((查|看).*(利率|费率|额度|门槛|准入)| (产品|业务).*(要求|参数|是多少)).*,“三年期大额存单现在的执行利率？” / “某某理财产品的起购点是多少？”,,,,,,,,,,,,,,,
,营销话术库,"话术, 怎么推, 卖点, 对比, 竞品, 拒绝处理, 话术脚本",.*((怎么|如何).*(营销|推广|推|介绍|说)| (话术|卖点|竞品对比)).*,“客户嫌理财收益低，我该怎么回？” / “对比竞行，我们的优势在哪里？”,,,,,,,,,,,,,,,
,系统报错速查,"错误码, 报错, 错误提示, 代码, 异常, 无法登录, 响应超时",.*((报错|错误码|代码|异常).*(处理|解决|查询)| (系统|模块).*(进不去|报错)).*,“柜面系统提示0x999是什么意思？” / “信贷审批流程卡住了报错怎么弄？”,,,,,,,,,,,,,,,
业务办理类,营销线索管理,"意向, 客户名单, 转化, 跟进, 分配, 潜客, 触达",.*((查|看|找).*(线索|潜客|名单|意向)| (跟进|分配).*(客户)).*,“我手里还有多少没打完的名单？” / “把这几个意向客户分给小王。”,,,,,,,,,,,,,,,
,绩效考核查询,"绩效, 奖金, 考核, 排名, 指标, 完成率, 差额, 工资",.*((查|看|算).*(绩效|奖金|考核|指标|排名)| (还差|完成).*(多少)).*,“我离这个月的存款任务还差多少？” / “本周全行的排名出炉了吗？”,,,,,,,,,,,,,,,
,信贷审批进度,"进度, 审批到哪, 流程, 待办, 催办, 放款, 初审",.*((查|看|催).*(进度|流程|放款|审批)| (贷|借)款.*(到哪了)).*,“张三那笔经营贷审批通过了吗？” / “帮我催一下这笔住房贷的终审。”,,,,,,,,,,,,,,,
辅助办公类,排班与会议,"开会, 预定, 排班, 考勤, 调休, 会议室, 签到",.*((订|预定|预约).*(会议室|位置)| (查|改|换).*(排班|班表|考勤)).*,“下周三下午三点帮我订个中型会议室。” / “我想看看这周六谁值班。”,,,,,,,,,,,,,,,
,IT/行政报修,"电脑, 打印机, 网络, 坏了, 报修, 申领, 办公用品",.*((报修|申领|坏了|无法).*(电脑|打印机|网络|纸|墨盒|鼠标)).*,“打印机没墨了，帮我提个单子。” / “我的OA系统一直打不开，找谁修理？”,,,,,,,,,,,,,,,
,数智化报表生成,"报表, 统计, 导出, 汇总, 图表, 增长率, 环比, 同比",.*((生成|导出|做|统计).*(报表|图表|数据|汇总)| (环比|同比|增长).*(数据)).*,“帮我拉一下上周网点理财销售的汇总表。” / “今年个人贷的增长趋势图给我一份。”,,,,,,,,,,,,,,,